"","effect","term","estimate","std.error","statistic"
"1","fixed","(Intercept)",1.89422468861959,0.0614270214613406,30.8369939410416
"2","fixed","capital_regional",0.0143592553033674,0.00853579922807243,1.6822391107962
"3","fixed","capital_provincial",0.0128601960820336,0.00490188258566846,2.62352185252922
"4","fixed","pob_20_a_64",-0.00293163838481796,0.00741384182958085,-0.395427694872161
"5","fixed","inmigrantes",0.0123207941021684,0.0783249433228664,0.15730358145783
"6","fixed","aeropuerto",0.0222288838312019,0.0141555278807671,1.57033238311119
"7","fixed","puerto",0.0144128522798656,0.0121911453109393,1.18223939689512
"8","fixed","idse",-0.0697958371661105,0.0230333584394894,-3.03020670430976
"9","fixed","indice_ruralidad",-0.152140371882299,0.0157676412711709,-9.64889860606277
"10","fixed","bs1",-1.32961035771951,0.0770006621172627,-17.2675185012653
"11","fixed","bs2",-0.390813458730963,0.0513865927296888,-7.60535847914214
"12","fixed","bs3",-0.950500871657831,0.0630241329652498,-15.0815382447533
"13","fixed","bs4",-1.0752919512623,0.0571542171088184,-18.8138689611478
"14","fixed","bs5",-0.730409775075472,0.0603060733615081,-12.1117117126328
"15","fixed","bs6",-1.10735997446283,0.0587858107556684,-18.8371983005449
"16","fixed","bs7",-0.621556029448449,0.0596173420950289,-10.42575880786
"17","fixed","bs8",-0.897314548031,0.059618894692554,-15.0508417282528
"18","fixed","bs9",-0.710587598578236,0.0616053740693593,-11.5345066775864
"19","fixed","bs10",-0.916044702220324,0.0626324194764187,-14.6257275366029
"20","fixed","bs11",-0.669429899934997,0.0618639558997787,-10.821000535748
"21","fixed","bs12",-1.03659721136796,0.0624152218965429,-16.6080834109056
"22","fixed","paso_lag12",0.0602225553107521,0.00485469495297381,12.4050132694459
"23","fixed","paso_lag13",0.158231225388081,0.00536117746653604,29.5142674115425
"24","fixed","paso_lag14",0.243892345773541,0.00673083979856393,36.2350543279275
"25","fixed","vacunados1_lag2",0.106664575674281,0.0672670869173592,1.58568745225021
"26","fixed","vacunados2_lag1",-0.0854425865620786,0.0812221259746372,-1.05196195663186
"27","fixed","pp_vecinos_cuarentena_lag1",-0.0376491396239542,0.00512967083623658,-7.33948450610055
"28","fixed","pcr_lag1",0.745443971307253,0.440738859327627,1.69135068426794
