"","effect","term","estimate","std.error","statistic","p.value"
"1","fixed","(Intercept)",0.393072366297472,0.0478891911788238,8.20795583766896,2.24985929649684e-16
"2","fixed","capital_regional",-0.0122723844264723,0.0102039389191214,-1.20271049481438,0.229088371255691
"3","fixed","capital_provincial",-0.00950847529607662,0.00586871581089134,-1.62019692254147,0.105189982300872
"4","fixed","pob_20_a_64",0.00461171372106892,0.00887518249539049,0.519619030196179,0.603329131639024
"5","fixed","inmigrantes",-0.0403936433692716,0.0929437971095499,-0.434602895787234,0.663850692738824
"6","fixed","aeropuerto",-0.0199060160865559,0.0166087891103035,-1.19852302021264,0.230713466624529
"7","fixed","puerto",-0.0125860230966037,0.0144568553704398,-0.87059203222981,0.383976948514901
"8","fixed","idse",0.0688166887026789,0.0274426083170874,2.50765845241575,0.0121534077733889
"9","fixed","indice_ruralidad",0.133123406664836,0.018616667702453,7.15076450804863,8.62959240930459e-13
"10","fixed","bs1",0.912473080318066,0.0558301964500297,16.3437196774825,4.82193261391189e-60
"11","fixed","bs2",0.283713215995724,0.0368919159459072,7.69038985157936,1.46687367706117e-14
"12","fixed","bs3",0.638686260642852,0.04579731706737,13.9459318043307,3.33069420006337e-44
"13","fixed","bs4",0.795678695929712,0.0410949554552245,19.3619554301903,1.61632058405202e-83
"14","fixed","bs5",0.467122641701118,0.0437207223574963,10.6842388806283,1.20634490504817e-26
"15","fixed","bs6",0.817668796233795,0.0425304546802702,19.2254891790073,2.26493214595181e-82
"16","fixed","bs7",0.389364462921633,0.0430534011765595,9.04375617909656,1.51378684239059e-19
"17","fixed","bs8",0.624200857926202,0.0431585282389523,14.4629783126579,2.07616040035222e-47
"18","fixed","bs9",0.465017297087256,0.0458047275866431,10.152168162285,3.24082106756443e-24
"19","fixed","bs10",0.660220997657077,0.0461909281968235,14.2933044091216,2.40901983444148e-46
"20","fixed","bs11",0.397287916817428,0.0456277791337283,8.70714999415237,3.11610623066122e-18
"21","fixed","bs12",0.817058259956098,0.0465975327739645,17.5343674078086,7.83162931634954e-69
"22","fixed","paso_lag12",-0.0672411134576207,0.00411050285611589,-16.3583668011749,3.79160662091464e-60
"23","fixed","paso_lag13",-0.156723013110161,0.00458874187904909,-34.1538088742176,1.17391872587089e-255
"24","fixed","paso_lag14",-0.225968385330481,0.00557152897629531,-40.5576972303095,0
"25","fixed","vacunados1_lag1",-0.112616727792318,0.0484528289464946,-2.32425495561215,0.0201118334672368
"26","fixed","vacunados2_lag1",0.0635546498100093,0.0610525680463419,1.04098241636237,0.297883709066713
"27","fixed","pp_vecinos_cuarentena_lag2",0.0366343204220264,0.0042308289612968,8.65889894324575,4.76342878052017e-18
"28","fixed","pcr_lag1",-0.797298110549255,0.354776319672867,-2.24732617803925,0.0246191890519118
