"effect","term","estimate","std.error","statistic"
"fixed","(Intercept)",0.694390547982362,0.066999061500941,10.3641832053515
"fixed","puerto",0.0545737851681353,0.0231457190941728,2.35783493898338
"fixed","hacinamiento",3.95598962593866,1.80668076743775,2.18964506471671
"fixed","idse",0.178573513092172,0.0677814812141002,2.63454722283384
"fixed","pvcl1",-0.0462358765449987,0.0176148876739313,-2.62481813116664
"fixed","semana_fct3",-0.017299452447925,0.0136250366691418,-1.26968116622431
"fixed","semana_fct4",-0.0178944031618169,0.0141362743598712,-1.26585001863107
"fixed","semana_fct5",-0.0180246384968667,0.0145351438338883,-1.24007293652249
"fixed","semana_fct6",-0.03057240019585,0.015087971553195,-2.02627636777165
"fixed","semana_fct7",-0.0327617049232655,0.0155423033609996,-2.1079053832828
"fixed","semana_fct8",-0.0414618545077986,0.016376317261682,-2.53181798112893
"fixed","semana_fct9",-0.0462932856948853,0.017360581811691,-2.66657455360802
"fixed","semana_fct10",-0.0389770727291059,0.0183767116395868,-2.12100366450449
"fixed","semana_fct11",-0.0373556287556015,0.0191516094165231,-1.95052164771973
"fixed","semana_fct12",-0.029856166462632,0.0203760816854651,-1.46525553457755
"fixed","semana_fct13",-0.0107425532199393,0.0203179381987251,-0.528722605358322
"fixed","semana_fct14",-0.00189683099254506,0.021015729942072,-0.0902576783092236
"fixed","semana_fct15",0.0067131597806332,0.0215536544449867,0.311462717274595
"fixed","semana_fct16",0.0107517033797927,0.0221428884241783,0.485560111843979
"fixed","semana_fct17",0.000348087381739262,0.024382381918566,0.0142761844557201
"fixed","semana_fct18",-0.021958770483073,0.0259148498474362,-0.847343149288802
"fixed","semana_fct19",-0.0366388987109247,0.0329875267139268,-1.11068947449935
"fixed","semana_fct20",-0.0345653884365754,0.0361333998727022,-0.956604929465512
"fixed","semana_fct21",-0.0548839826221851,0.0439218579750729,-1.2495824437421
"fixed","semana_fct22",-0.0438775982891035,0.104094623031793,-0.421516472332121
"fixed","semana_fct23",0.0330507476001907,0.104094623031793,0.31750677064363
